step	loss
0	0.3610332819019876
1	0.2807594752166329
2	0.2204970228599339
3	0.20112381557502398
4	0.19610532554911403
5	0.193192120278027
6	0.1971376318393684
7	0.17905482458995609
8	0.17756103569778
9	0.17111328971095202
